orcid,predicted_faculties,prediction_confidence
0000-0003-0933-1052,phil,0.95
0000-0003-0934-1939,mint,1
0000-0003-0941-6937,mint,1
0000-0003-0941-8537,med,1
0000-0003-0944-8795,mint,0.95
0000-0003-0959-4784,mint,1
0000-0003-0964-3611,mint,0.95
0000-0003-0968-8262,sowi,0.95
0000-0003-0972-6046,sowi,0.95
0000-0003-0976-0332,mint,1
0000-0003-0977-8954,mint,1
0000-0003-0983-7096,sowi,0.95
0000-0003-0984-4528,sowi,1
0000-0003-0985-0063,mint,0.95
0000-0003-0995-7602,sowi,0.95
0000-0003-1002-5802,sowi,0.95
0000-0003-1003-2025,mint,1
0000-0003-1007-3011,mint,1
0000-0003-1008-6955,sowi,0.95
0000-0003-1014-1782,med,1
0000-0003-1022-5126,mint,1
0000-0003-1028-5938,mint,1
0000-0003-1037-3487,med,1
0000-0003-1038-4979,med,1
0000-0003-1046-1604,mint,0.95
0000-0003-1057-9629,sowi,0.95
0000-0003-1061-7023,med,1
0000-0003-1074-2473,mint,1
0000-0003-1079-5604,mint,1
0000-0003-1088-6434,sowi,0.95
0000-0003-1094-8885,mint,0.95
0000-0003-1096-077X,agrar,0.95
0000-0003-1103-695X,mint,1
0000-0003-1105-6600,med,0.95
0000-0003-1110-940X,mint,1
0000-0003-1116-584X,sowi,1
0000-0003-1117-6768,sowi,0.95
0000-0003-1134-9892,sowi,0.95
0000-0003-1142-7483,med,0.95
0000-0003-1143-0535,sowi,1
0000-0003-1143-2741,sowi,0.95
0000-0003-1149-6673,sowi,0.95
0000-0003-1152-5956,med,1
0000-0003-1152-9148,med,1
0000-0003-1165-2349,tech,0.95
0000-0003-1165-9065,mint,0.95
0000-0003-1174-8658,mint,1
0000-0003-1177-8996,agrar,0.95
0000-0003-1179-2149,mint,0.95
0000-0003-1180-4250,mint,0.95
0000-0003-1182-0162,mint,0.95
0000-0003-1184-1588,phil,0.95
0000-0003-1188-0114,agrar,0.95
0000-0003-1189-9464,mint,1
0000-0003-1204-4273,agrar,1
0000-0003-1207-8924,mint,1
0000-0003-1215-1116,sowi,1
0000-0003-1219-9216,sowi,1
0000-0003-1221-7015,med,1
0000-0003-1223-9310,mint,1
0000-0003-1230-1786,med,0.95
0000-0003-1231-3760,sowi,0.95
0000-0003-1237-9233,mint,1
0000-0003-1240-147X,med,1
0000-0003-1246-7591,sowi,0.95
0000-0003-1264-0024,mint,1
0000-0003-1270-9968,phil,0.95
0000-0003-1271-7204,sowi,0.95
0000-0003-1279-5421,med,1
0000-0003-1281-4477,sowi,0.95
0000-0003-1281-4493,sowi,1
0000-0003-1283-8217,sowi,1
0000-0003-1284-9178,jura,0.95
0000-0003-1286-9152,sowi,0.95
0000-0003-1296-4221,tech,1
0000-0003-1303-2960,med,0.95
0000-0003-1307-6496,agrar,1
0000-0003-1340-4576,med,1
0000-0003-1342-1958,sowi,0.95
0000-0003-1342-6230,mint,1
0000-0003-1343-4775,mint,1
0000-0003-1362-0754,mint,0.95
0000-0003-1365-5615,mint,0.95
0000-0003-1365-6351,med,0.95
0000-0003-1370-4085,sowi,1
0000-0003-1370-8430,med,1
0000-0003-1371-4945,sowi,0.95
0000-0003-1372-0683,sowi,0.95
0000-0003-1385-4112,agrar,0.95
0000-0003-1386-1881,mint,1
0000-0003-1391-1308,med,1
0000-0003-1391-4808,mint,1
0000-0003-1395-608X,sowi,1
0000-0003-1395-9758,mint,0.95
0000-0003-1405-1557,sowi,0.95
0000-0003-1411-6998,tech,1
0000-0003-1416-7058,mint,1
0000-0003-1417-9657,mint,1
0000-0003-1419-1891,med,1
0000-0003-1434-9927,mint,0.95
0000-0003-1443-9316,med,1
0000-0003-1444-9733,tech,1
0000-0003-1449-5780,med,1
0000-0003-1453-9181,mint,1
0000-0003-1463-5448,med,1
0000-0003-1464-685X,sowi,1
0000-0003-1467-9862,med,1
0000-0003-1477-0121,mint,1
0000-0003-1482-8303,sowi,1
0000-0003-1482-9998,agrar,1
0000-0003-1490-0141,mint,1
0000-0003-1491-7656,agrar,1
0000-0003-1495-9434,mint,0.95
0000-0003-1496-2828,mint,1
0000-0003-1502-936X,agrar,0.95
0000-0003-1511-5110,mint,1
0000-0003-1511-5188,med,1
0000-0003-1513-5779,med,1
0000-0003-1517-7354,phil,0.95
0000-0003-1519-754X,mint,0.95
0000-0003-1524-5046,mint,0.95
0000-0003-1525-767X,phil,0.95
0000-0003-1529-4235,agrar,0.95
0000-0003-1530-5811,med,1
0000-0003-1531-8890,mint,0.95
0000-0003-1531-9244,med,0.95
0000-0003-1535-6168,agrar,1
0000-0003-1540-932X,phil,0.95
0000-0003-1541-3513,sowi,1
0000-0003-1547-8130,mint,1
0000-0003-1555-1203,agrar,0.95
0000-0003-1555-5458,sowi,0.95
0000-0003-1558-5817,mint,1
0000-0003-1566-4697,med,1
0000-0003-1574-8479,med,1
0000-0003-1577-7106,tech,0.95
0000-0003-1581-6961,mint,0.95
0000-0003-1586-738X,agrar,0.95
0000-0003-1613-7522,sowi,0.9
0000-0003-1615-3960,phil,0.95
0000-0003-1615-5122,agrar,1
0000-0003-1617-143X,mint,1
0000-0003-1617-9220,mint,1
0000-0003-1622-6605,mint,1
0000-0003-1638-3977,agrar,0.95
0000-0003-1642-4003,sowi,0.95
0000-0003-1645-3947,mint,0.95
0000-0003-1651-6012,mint,0.95
0000-0003-1657-8256,mint,0.95
0000-0003-1662-9834,sowi,0.95
0000-0003-1668-6142,mint,1
0000-0003-1671-7295,mint,1
0000-0003-1671-8837,sowi,0.95
0000-0003-1676-8105,mint,1
0000-0003-1695-7918,med,1
0000-0003-1697-0880,mint,1
0000-0003-1705-6556,med,1
0000-0003-1706-2075,sowi,0.95
0000-0003-1713-7890,mint,1
0000-0003-1714-5452,mint,1
0000-0003-1719-9143,sowi,0.95
0000-0003-1723-8122,sowi,0.95
0000-0003-1725-179X,med,1
0000-0003-1725-8246,mint,1
0000-0003-1730-6316,mint,1
0000-0003-1734-5278,mint,1
0000-0003-1740-7547,mint,1
0000-0003-1742-1285,mint,0.95
0000-0003-1742-5534,med,1
0000-0003-1750-5534,mint,0.95
0000-0003-1755-0562,sowi,1
0000-0003-1757-5794,phil,0.95
0000-0003-1762-4090,mint,1
0000-0003-1767-9104,sowi,1
0000-0003-1772-9992,sowi,1
0000-0003-1773-576X,mint,1
0000-0003-1774-9168,phil,1
0000-0003-1778-8132,mint,0.95
0000-0003-1779-2684,mint,1
0000-0003-1780-6265,agrar,0.95
0000-0003-1790-5765,mint,1
0000-0003-1791-7272,agrar,1
0000-0003-1792-9134,mint,1
0000-0003-1798-8679,sowi,0.95
0000-0003-1802-3430,mint,1
0000-0003-1803-3727,sowi,0.95
0000-0003-1804-6878,mint,0.95
0000-0003-1806-8380,med,1
0000-0003-1807-4860,med,1
0000-0003-1807-9581,mint,1
0000-0003-1819-3691,sowi,0.95
0000-0003-1821-8801,mint,0.95
0000-0003-1842-8219,med,1
0000-0003-1843-7000,med,1
0000-0003-1845-7511,med,1
0000-0003-1845-7618,med,1
0000-0003-1846-675X,med,1
0000-0003-1848-486X,mint,0.95
0000-0003-1851-562X,med,1
0000-0003-1851-6032,sowi,0.95
0000-0003-1857-7660,med,0.95
0000-0003-1869-1359,med,1
0000-0003-1876-8870,sowi,0.85
0000-0003-1877-2618,sowi,0.9
0000-0003-1878-9321,mint,1
0000-0003-1879-8498,mint,0.95
0000-0003-1881-4179,med,1
0000-0003-1881-7302,med,1
0000-0003-1886-9014,sowi,1
0000-0003-1891-7901,agrar,0.95
0000-0003-1894-2517,phil,0.95
0000-0003-1896-234X,mint,0.95
0000-0003-1896-3860,agrar,0.95
0000-0003-1896-7634,med,1
0000-0003-1897-2783,sowi,0.95
0000-0003-1899-9118,mint,0.95
0000-0003-1903-3761,mint,0.95
0000-0003-1906-9852,mint,0.95
0000-0003-1909-1726,agrar,1
0000-0003-1915-7297,mint,0.95
0000-0003-1917-8493,med,1
0000-0003-1922-6782,mint,0.95
0000-0003-1923-0386,sowi,1
0000-0003-1923-4280,NA,NA
0000-0003-1923-9153,phil,0.95
0000-0003-1940-215X,mint,0.95
0000-0003-1945-0119,mint,1
0000-0003-1951-8494,mint,1
0000-0003-1961-139X,mint,0.95
0000-0003-1971-4399,sowi,0.95
0000-0003-1985-6426,mint,1
0000-0003-1987-5344,phil,0.95
0000-0003-1995-9062,mint,1
0000-0003-1998-4698,sowi,0.95
0000-0003-1999-9486,mint,1
0000-0003-2005-8392,agrar,0.95
0000-0003-2010-0394,med,1
0000-0003-2013-237X,mint,0.95
0000-0003-2014-272X,sowi,0.95
0000-0003-2015-7817,phil,0.95
0000-0003-2019-6234,mint,1
0000-0003-2024-7345,sowi,0.95
0000-0003-2034-5922,med,1
0000-0003-2037-6454,sowi,0.95
0000-0003-2042-4030,mint,0.95
0000-0003-2042-7290,mint,0.95
0000-0003-2044-1148,mint,0.95
0000-0003-2048-9352,NA,NA
0000-0003-2057-7002,sowi,0.95
0000-0003-2060-3151,mint,1
0000-0003-2065-1380,sowi,0.95
0000-0003-2066-3840,phil,1
0000-0003-2067-171X,mint,0.95
0000-0003-2068-6081,med,1
0000-0003-2069-9245,sowi,0.95
0000-0003-2070-0891,mint,0.95
0000-0003-2071-8602,mint,0.95
0000-0003-2075-7265,mint,0.95
0000-0003-2087-5552,agrar,0.95
0000-0003-2089-733X,mint,1
0000-0003-2091-1787,mint,1
0000-0003-2095-5261,med,1
0000-0003-2101-0024,mint,0.95
0000-0003-2102-3431,med,1
0000-0003-2103-0922,med,1
0000-0003-2104-9367,med,1
0000-0003-2109-5179,mint,1
0000-0003-2111-0965,phil,0.95
0000-0003-2114-8146,mint,0.95
0000-0003-2117-4176,mint,1
0000-0003-2124-0030,mint,0.95
0000-0003-2125-9989,mint,0.95
0000-0003-2134-5545,med,1
0000-0003-2139-8575,sowi,0.95
0000-0003-2143-3094,jura,1
0000-0003-2146-4210,mint,1
0000-0003-2150-3160,med,1
0000-0003-2151-4521,med,0.95
0000-0003-2158-9806,mint,1
0000-0003-2159-0516,mint,0.95
0000-0003-2159-789X,sowi,1
0000-0003-2161-9155,agrar,1
0000-0003-2162-0981,mint,1
0000-0003-2163-4240,med,0.95
0000-0003-2167-3805,med,1
0000-0003-2169-6142,mint,1
0000-0003-2172-7906,mint,0.95
0000-0003-2175-9350,mint,0.95
0000-0003-2178-1275,sowi,1
0000-0003-2178-7626,sowi,1
0000-0003-2179-8659,agrar,0.95
0000-0003-2181-0574,med,1
0000-0003-2182-0879,tech,0.95
0000-0003-2182-5354,tech,0.95
0000-0003-2185-4251,sowi,0.95
0000-0003-2188-4004,tech,1
0000-0003-2188-7168,sowi,0.9
0000-0003-2195-1967,med,1
0000-0003-2195-878X,agrar,0.95
0000-0003-2203-006X,med,1
0000-0003-2208-0454,sowi,0.95
0000-0003-2216-6653,sowi,0.95
0000-0003-2226-3592,phil,1
0000-0003-2232-2599,sowi,0.95
0000-0003-2232-9512,sowi,0.95
0000-0003-2234-7219,mint,1
0000-0003-2235-6553,med,1
0000-0003-2240-5351,tech,1
0000-0003-2241-5103,sowi,0.95
0000-0003-2243-331X,phil,1
0000-0003-2254-7771,med,1
0000-0003-2255-9406,sowi,0.95
0000-0003-2259-5423,sowi,0.95
0000-0003-2264-2269,agrar,0.95
0000-0003-2270-2495,med,0.95
0000-0003-2273-8367,agrar,0.95
0000-0003-2275-704X,phil,1
0000-0003-2277-5176,mint,0.95
0000-0003-2287-1168,mint,0.95
0000-0003-2287-2099,mint,1
0000-0003-2296-0769,mint,1
0000-0003-2297-5768,med,1
0000-0003-2304-0817,mint,1
0000-0003-2304-667X,mint,1
0000-0003-2304-8843,tech,0.95
0000-0003-2310-5975,agrar,1
0000-0003-2313-0628,mint,0.95
0000-0003-2315-3520,mint,1
0000-0003-2315-8954,med,1
0000-0003-2326-0326,mint,1
0000-0003-2329-4163,mint,0.98
0000-0003-2353-7188,med,1
0000-0003-2356-6106,mint,1
0000-0003-2361-7735,med,1
0000-0003-2368-6132,mint,1
0000-0003-2377-1070,agrar,0.95
0000-0003-2377-2866,mint,0.95
0000-0003-2384-7119,sowi,0.95
0000-0003-2387-378X,med,1
0000-0003-2389-4038,sowi,0.95
0000-0003-2390-2982,sowi,0.95
0000-0003-2398-6151,agrar,0.95
0000-0003-2410-0666,mint,1
0000-0003-2418-2681,mint,1
0000-0003-2421-8779,med,1
0000-0003-2422-8328,mint,0.95
0000-0003-2431-5843,med,1
0000-0003-2436-6392,sowi,0.95
0000-0003-2443-3372,tech,0.95
0000-0003-2444-4821,phil,0.95
0000-0003-2459-9153,mint,1
0000-0003-2460-0396,agrar,0.95
0000-0003-2464-1630,mint,1
0000-0003-2470-6027,med,1
0000-0003-2472-8074,sowi,0.95
0000-0003-2474-7523,mint,0.95
0000-0003-2486-8894,tech,1
0000-0003-2487-3917,mint,0.95
0000-0003-2488-7390,med,1
0000-0003-2501-8090,med,1
0000-0003-2502-1038,sowi,1
0000-0003-2527-1395,sowi,1
0000-0003-2527-5572,sowi,0.95
0000-0003-2538-8702,mint,0.95
0000-0003-2540-9286,mint,0.95
0000-0003-2543-3251,med,1
0000-0003-2550-5198,med,1
0000-0003-2556-0891,mint,1
0000-0003-2556-2096,mint,1
0000-0003-2564-9634,med,0.95
0000-0003-2566-7349,mint,0.95
0000-0003-2567-6077,sowi,0.9
0000-0003-2568-4026,sowi,0.95
0000-0003-2571-239X,mint,0.95
0000-0003-2577-0928,sowi,0.95
0000-0003-2579-0582,agrar,0.95
0000-0003-2581-4214,mint,1
0000-0003-2587-919X,sowi,0.95
0000-0003-2587-9739,mint,0.95
0000-0003-2593-0194,sowi,0.95
0000-0003-2595-6482,mint,1
0000-0003-2603-1502,sowi,0.95
0000-0003-2604-985X,agrar,0.95
0000-0003-2610-0600,mint,1
0000-0003-2615-3104,med,0.95
0000-0003-2615-4916,med,1
0000-0003-2622-0135,sowi,0.95
0000-0003-2624-7362,med,1
0000-0003-2625-8010,sowi,1
0000-0003-2632-1155,agrar,0.95
0000-0003-2632-7530,med,1
0000-0003-2635-7617,mint,1
0000-0003-2637-7052,med,1
0000-0003-2642-068X,phil,0.95
0000-0003-2645-8135,med,1
0000-0003-2647-1647,med,1
0000-0003-2649-3870,med,1
0000-0003-2650-1404,phil,1
0000-0003-2654-7293,med,1
0000-0003-2654-7963,mint,1
0000-0003-2660-0349,mint,1
0000-0003-2663-5015,agrar,1
0000-0003-2667-5068,mint,0.95
0000-0003-2674-0229,sowi,0.95
0000-0003-2691-5420,mint,1
0000-0003-2692-7624,mint,1
0000-0003-2693-1893,mint,1
0000-0003-2710-4929,agrar,0.95
0000-0003-2712-8648,mint,1
0000-0003-2719-475X,mint,1
0000-0003-2719-4821,mint,1
0000-0003-2720-2211,mint,0.95
0000-0003-2725-2788,med,1
0000-0003-2732-6986,phil,0.85
0000-0003-2735-9630,mint,1
0000-0003-2739-5578,med,1
0000-0003-2746-801X,agrar,0.95
0000-0003-2751-0142,sowi,0.95
0000-0003-2754-3171,mint,1
0000-0003-2758-3042,agrar,0.95
0000-0003-2770-254X,mint,0.95
0000-0003-2784-3297,med,0.95
0000-0003-2789-7551,mint,1
0000-0003-2794-4266,med,0.95
0000-0003-2796-6967,med,0.95
0000-0003-2800-2596,sowi,1
0000-0003-2800-5252,mint,0.95
0000-0003-2822-8261,mint,1
0000-0003-2826-1897,mint,0.95
0000-0003-2829-201X,med,1
0000-0003-2831-2586,mint,1
0000-0003-2834-1280,med,1
0000-0003-2835-572X,sowi,0.9
0000-0003-2836-9224,med,1
0000-0003-2839-0015,med,1
0000-0003-2858-2789,mint,1
0000-0003-2870-9954,med,0.95
0000-0003-2873-2425,agrar,1
0000-0003-2879-1636,mint,0.95
0000-0003-2885-1301,mint,1
0000-0003-2886-9237,mint,1
0000-0003-2887-6525,mint,1
0000-0003-2887-9320,agrar,0.95
0000-0003-2889-7174,mint,1
0000-0003-2893-6014,med,1
0000-0003-2894-3644,med,1
0000-0003-2894-7135,phil,0.9
0000-0003-2897-6542,phil,0.95
0000-0003-2906-6639,med,1
0000-0003-2908-9005,sowi,1
0000-0003-2912-1837,mint,1
0000-0003-2914-3382,med,0.95
0000-0003-2916-4319,agrar,0.95
0000-0003-2918-3253,mint,0.95
0000-0003-2925-2263,mint,0.95
0000-0003-2933-1586,mint,1
0000-0003-2950-7983,mint,1
0000-0003-2952-4337,med,1
0000-0003-2958-4081,sowi,0.95
0000-0003-2960-5305,sowi,1
0000-0003-2965-0296,mint,0.95
0000-0003-2977-4459,sowi,0.95
0000-0003-2978-5799,tech,1
0000-0003-2984-0831,med,1
0000-0003-2988-8368,mint,1
0000-0003-2993-0335,mint,1
0000-0003-2999-083X,mint,1
0000-0003-3003-7229,phil,0.95
0000-0003-3014-370X,med,1
0000-0003-3014-4497,phil,0.95
0000-0003-3017-1663,sowi,1
0000-0003-3020-7312,agrar,1
0000-0003-3025-5517,mint,1
0000-0003-3032-4834,mint,1
0000-0003-3036-5572,agrar,1
0000-0003-3045-9595,mint,1
0000-0003-3046-2241,mint,1
0000-0003-3053-476X,med,0.95
0000-0003-3065-0314,mint,0.95
0000-0003-3067-5239,med,1
0000-0003-3072-116X,med,1
0000-0003-3072-1741,sowi,1
0000-0003-3072-6753,mint,0.95
0000-0003-3078-2368,mint,1
0000-0003-3090-6703,mint,0.95
0000-0003-3099-0183,sowi,0.95
0000-0003-3110-6142,agrar,0.95
0000-0003-3110-9642,mint,0.95
0000-0003-3111-6172,sowi,0.9
0000-0003-3114-0615,sowi,0.95
0000-0003-3117-3724,mint,1
0000-0003-3118-4247,mint,0.9
0000-0003-3119-0786,mint,1
0000-0003-3133-8533,mint,1
0000-0003-3137-0883,mint,0.95
0000-0003-3142-1177,agrar,1
0000-0003-3146-1654,mint,1
0000-0003-3149-0340,phil,0.95
0000-0003-3149-4392,agrar,0.95
0000-0003-3155-5300,med,0.95
0000-0003-3157-2266,mint,1
0000-0003-3158-7740,med,1
0000-0003-3159-3104,sowi,0.95
0000-0003-3161-8658,sowi,1
0000-0003-3165-0893,phil,0.95
0000-0003-3167-3657,tech,1
0000-0003-3169-0422,mint,0.95
0000-0003-3175-596X,mint,0.95
0000-0003-3187-8978,agrar,1
0000-0003-3188-1026,med,1
0000-0003-3188-3654,sowi,0.95
0000-0003-3190-0880,mint,1
0000-0003-3194-0030,sowi,0.95
0000-0003-3199-0935,med,1
0000-0003-3213-0750,sowi,1
0000-0003-3216-7246,med,1
0000-0003-3217-3267,sowi,0.95
0000-0003-3223-1797,mint,0.95
0000-0003-3228-5592,mint,0.95
0000-0003-3228-7862,mint,0.95
0000-0003-3231-3741,phil,0.95
0000-0003-3238-3088,sowi,0.95
0000-0003-3239-5812,sowi,0.95
0000-0003-3251-4551,mint,0.95
0000-0003-3252-2076,med,1
0000-0003-3263-2873,sowi,1
0000-0003-3263-7922,mint,0.95
0000-0003-3264-8672,mint,1
0000-0003-3272-7055,mint,1
0000-0003-3279-416X,med,1
0000-0003-3283-6665,med,1
0000-0003-3288-5272,sowi,0.95
0000-0003-3288-5280,med,0.95
0000-0003-3297-5358,med,1
0000-0003-3299-0662,phil,0.95
0000-0003-3302-2030,mint,1
0000-0003-3306-0969,mint,0.95
0000-0003-3307-7760,sowi,0.95
0000-0003-3318-1744,med,1
0000-0003-3327-2451,med,0.95
0000-0003-3334-8591,agrar,1
0000-0003-3338-3434,phil,0.95
0000-0003-3339-212X,mint,1
0000-0003-3340-352X,sowi,0.95
0000-0003-3344-9464,med,1
0000-0003-3350-3133,med,0.95
0000-0003-3351-7172,mint,0.95
0000-0003-3353-5645,sowi,0.95
0000-0003-3360-3919,med,1
0000-0003-3361-7384,mint,1
0000-0003-3364-3400,med,0.95
0000-0003-3366-6880,mint,1
0000-0003-3367-5795,med,1
0000-0003-3368-4667,phil,0.95
0000-0003-3368-4800,mint,0.95
0000-0003-3370-3274,med,1
0000-0003-3379-2641,med,1
0000-0003-3385-0645,sowi,1
0000-0003-3386-0923,mint,1
0000-0003-3389-2028,sowi,0.95
0000-0003-3394-3358,sowi,0.85
0000-0003-3395-1649,mint,0.95
0000-0003-3397-3397,mint,1
0000-0003-3399-1421,phil,0.95
0000-0003-3403-6880,NA,NA
0000-0003-3404-7846,mint,1
0000-0003-3405-4835,sowi,0.95
0000-0003-3407-6356,mint,0.95
0000-0003-3416-636X,mint,0.95
0000-0003-3417-1513,mint,1
0000-0003-3423-6997,mint,0.95
0000-0003-3424-1091,med,1
0000-0003-3425-0254,tech,0.95
0000-0003-3427-4037,med,0.95
0000-0003-3435-9030,med,1
0000-0003-3437-9963,mint,0.95
0000-0003-3440-863X,mint,0.95
0000-0003-3444-7380,mint,0.95
0000-0003-3447-1620,mint,0.85
0000-0003-3448-9679,med,1
0000-0003-3450-0217,mint,1
0000-0003-3450-5296,mint,0.95
0000-0003-3455-774X,mint,1
0000-0003-3457-2755,mint,0.95
0000-0003-3467-7776,med,1
0000-0003-3471-0951,mint,0.95
0000-0003-3483-6036,mint,1
0000-0003-3496-5751,med,1
0000-0003-3498-2586,mint,0.95
0000-0003-3501-0818,mint,0.95
0000-0003-3506-1762,med,1
0000-0003-3510-6350,mint,1
0000-0003-3512-9544,med,1
0000-0003-3520-898X,sowi,0.95
0000-0003-3526-0569,med,0.95
0000-0003-3526-261X,med,1
0000-0003-3538-0106,mint,0.95
0000-0003-3538-4959,agrar,0.95
0000-0003-3538-7148,sowi,1
0000-0003-3539-2326,med,1
0000-0003-3539-2975,mint,0.95
0000-0003-3542-4439,mint,1
0000-0003-3545-4822,tech,1
0000-0003-3550-6186,mint,0.95
0000-0003-3558-9014,agrar,1
0000-0003-3560-4288,mint,0.95
0000-0003-3561-3328,med,1
0000-0003-3567-813X,phil,1
0000-0003-3586-0521,mint,1
0000-0003-3588-5665,med,1
0000-0003-3592-8709,med,1
0000-0003-3596-5964,med,1
0000-0003-3597-6276,med,1
0000-0003-3598-8699,mint,0.95
0000-0003-3599-0406,agrar,1
0000-0003-3603-0087,sowi,0.9
0000-0003-3603-8089,mint,0.95
0000-0003-3606-2310,mint,1
0000-0003-3606-7760,mint,0.95
0000-0003-3607-7651,med,1
0000-0003-3609-3512,med,1
0000-0003-3613-4193,phil,1
0000-0003-3617-9981,mint,0.95
0000-0003-3623-4653,sowi,0.95
0000-0003-3625-7396,sowi,0.95
0000-0003-3629-6336,mint,0.95
0000-0003-3637-4066,sowi,0.95
0000-0003-3638-6016,mint,1
0000-0003-3642-4887,mint,1
0000-0003-3645-1535,sowi,1
0000-0003-3645-5157,mint,0.95
0000-0003-3651-1470,med,1
0000-0003-3655-0525,mint,1
0000-0003-3656-0643,mint,1
0000-0003-3664-6922,mint,1
0000-0003-3674-8347,mint,1
0000-0003-3681-3049,med,1
0000-0003-3682-1903,mint,0.95
0000-0003-3683-4587,mint,1
0000-0003-3684-4208,med,0.95
0000-0003-3687-6939,med,1
0000-0003-3687-7691,sowi,1
0000-0003-3692-3950,med,1
0000-0003-3700-3590,med,0.95
0000-0003-3702-8456,sowi,0.95
0000-0003-3705-8970,med,0.95
0000-0003-3708-6680,med,1
0000-0003-3710-5343,sowi,0.95
0000-0003-3713-403X,med,1
0000-0003-3718-3595,med,1
0000-0003-3720-3568,mint,0.85
0000-0003-3726-1004,mint,0.95
0000-0003-3737-5749,med,1
0000-0003-3746-9577,mint,1
0000-0003-3755-5264,mint,0.95
0000-0003-3755-785X,agrar,0.95
0000-0003-3763-7753,mint,0.95
0000-0003-3764-3731,sowi,0.95
0000-0003-3773-7340,mint,1
0000-0003-3777-570X,med,1
0000-0003-3783-9179,mint,0.95
0000-0003-3787-111X,mint,0.95
0000-0003-3795-0475,mint,1
0000-0003-3796-5730,med,1
0000-0003-3808-410X,mint,0.95
0000-0003-3812-0801,mint,0.95
0000-0003-3814-693X,agrar,0.95
0000-0003-3822-8409,mint,0.95
0000-0003-3832-3051,agrar,0.95
0000-0003-3837-5169,mint,0.95
0000-0003-3842-4653,agrar,1
0000-0003-3857-1047,sowi,0.95
0000-0003-3859-2112,mint,1
0000-0003-3861-246X,agrar,0.95
0000-0003-3862-1286,mint,0.95
0000-0003-3863-0975,mint,0.95
0000-0003-3863-7798,mint,1
0000-0003-3863-8467,mint,0.95
0000-0003-3865-300X,med,1
0000-0003-3873-0634,med,1
0000-0003-3881-0108,phil,1
0000-0003-3891-3158,sowi,0.95
0000-0003-3891-8215,mint,0.95
0000-0003-3898-6664,agrar,0.95
0000-0003-3901-8796,med,1
0000-0003-3904-0846,mint,1
0000-0003-3906-7379,med,0.95
0000-0003-3916-8102,sowi,0.95
0000-0003-3917-6882,mint,1
0000-0003-3918-1606,sowi,0.85
0000-0003-3921-1158,sowi,1
0000-0003-3922-9833,mint,1
0000-0003-3924-8735,mint,0.95
0000-0003-3937-2509,agrar,1
0000-0003-3937-5996,mint,1
0000-0003-3938-5860,mint,0.95
0000-0003-3938-7823,mint,0.95
0000-0003-3942-1702,mint,1
0000-0003-3944-252X,med,1
0000-0003-3944-9879,mint,0.95
0000-0003-3946-4390,mint,1
0000-0003-3947-7132,agrar,0.95
0000-0003-3951-4925,tech,0.95
0000-0003-3952-7830,mint,0.95
0000-0003-3956-4164,med,1
0000-0003-3958-6136,sowi,0.85
0000-0003-3960-6539,med,1
0000-0003-3962-7700,mint,0.95
0000-0003-3977-7469,med,0.95
0000-0003-3978-1628,phil,0.95
0000-0003-3990-5125,med,0.95
0000-0003-3991-2405,mint,1
0000-0003-4020-6321,sowi,0.5
0000-0003-4025-0955,agrar,1
0000-0003-4028-8507,med,1
0000-0003-4029-9791,agrar,1
0000-0003-4037-1597,med,1
0000-0003-4043-9811,phil,0.95
0000-0003-4053-1394,mint,0.95
0000-0003-4053-1474,med,1
0000-0003-4062-067X,agrar,1
0000-0003-4069-5444,mint,1
0000-0003-4071-5126,sowi,0.95
0000-0003-4087-2789,sowi,0.95
0000-0003-4090-7160,mint,0.95
0000-0003-4093-6471,sowi,0.9
0000-0003-4098-0464,mint,0.95
0000-0003-4100-8810,med,1
0000-0003-4102-9371,mint,1
0000-0003-4105-6652,sowi,1
0000-0003-4106-4978,mint,0.95
0000-0003-4109-1810,mint,1
0000-0003-4111-1228,mint,0.95
0000-0003-4116-0679,mint,0.95
0000-0003-4117-4771,mint,0.95
0000-0003-4118-3408,agrar,1
0000-0003-4121-442X,sowi,1
0000-0003-4123-3305,agrar,0.95
0000-0003-4126-665X,phil,0.95
0000-0003-4131-0366,mint,1
0000-0003-4133-697X,agrar,0.95
0000-0003-4138-5886,sowi,0.95
0000-0003-4148-4016,agrar,1
0000-0003-4148-6791,mint,1
0000-0003-4149-7589,sowi,0.95
0000-0003-4162-6803,mint,1
0000-0003-4168-0228,mint,0.95
0000-0003-4169-1330,phil,0.95
0000-0003-4175-9278,mint,1
0000-0003-4175-9649,med,1
0000-0003-4177-358X,sowi,0.95
0000-0003-4179-3046,phil,0.9
0000-0003-4183-1794,med,1
0000-0003-4186-8159,mint,1
0000-0003-4188-9865,mint,1
0000-0003-4189-6141,agrar,1
0000-0003-4193-2149,med,1
0000-0003-4196-5717,mint,0.95
0000-0003-4199-5211,mint,1
0000-0003-4219-5283,sowi,0.95
0000-0003-4220-0978,med,0.95
0000-0003-4220-3378,med,1
0000-0003-4228-2600,sowi,0.95
0000-0003-4230-8129,mint,1
0000-0003-4231-7906,med,1
0000-0003-4254-7525,mint,1
0000-0003-4265-3168,mint,0.95
0000-0003-4265-5542,med,0.95
0000-0003-4268-2575,sowi,0.95
0000-0003-4268-7480,mint,0.95
0000-0003-4285-6993,mint,0.95
0000-0003-4291-1956,med,1
0000-0003-4291-5009,med,0.95
0000-0003-4293-1623,mint,1
0000-0003-4294-3632,phil,0.95
0000-0003-4294-757X,med,0.95
